frame,timestamp_sec,track_id,in_roi,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w,bbox_h,bbox_aspect,center_x,center_y,center_speed,avg_keypoint_score,torso_angle_deg,shoulder_hip_height,flow_mean_mag,flow_max_mag,flow_mean_dx,flow_mean_dy,flow_downward_ratio,fall_score,raw_label,label,reason
1,0.03333333333333333,1,1,6.683102607727051,40.745361328125,74.68321990966797,181.47996520996094,68.00011730194092,140.73460388183594,0.48317979676864264,40.68316125869751,111.11266326904297,0.0,0.194970041513443,69.67472076416016,33.67127990722656,0.0,0.0,0.0,0.0,0.0,0.7499563694000244,fall_candidate,not_fall,LSTM=1.00; мало кадров для решения; недостаточно подтверждения
2,0.06666666666666667,1,1,6.709094524383545,40.78150939941406,74.78299713134766,181.26971435546875,68.07390260696411,140.4882049560547,0.4845524407423237,40.7460458278656,111.0256118774414,0.10738907681521889,0.18664400279521942,58.348548889160156,29.765579223632812,0.2139851301908493,1.3023160696029663,0.1842944175004959,-0.03157971426844597,0.0003151260504201681,0.7499552965164185,fall_candidate,not_fall,LSTM=1.00; мало кадров для решения; недостаточно подтверждения
3,0.1,1,1,6.776287078857422,41.7729606628418,75.02967834472656,181.49851989746094,68.25339126586914,139.72555923461914,0.48848178987254554,40.90298271179199,111.63574028015137,0.6299887723840275,0.23094329237937927,67.77298736572266,33.60718536376953,0.22570456564426422,0.8341804146766663,-0.1665888875722885,0.035133738070726395,0.006242065171392298,0.7499497532844543,fall_candidate,not_fall,LSTM=1.00; мало кадров для решения; недостаточно подтверждения
4,0.13333333333333333,1,1,6.837016582489014,47.37227249145508,74.99034118652344,180.57496643066406,68.15332460403442,133.20269393920898,0.511651248098167,40.913678884506226,113.97361946105957,2.337903649134143,0.1860572248697281,69.41107940673828,36.96763610839844,0.3983403146266937,1.1782608032226562,-0.3518370985984802,-0.14520208537578583,0.0020851624231782266,0.7499741613864899,fall_candidate,not_fall,LSTM=1.00; мало кадров для решения; недостаточно подтверждения
5,0.16666666666666666,1,1,6.432668685913086,42.581451416015625,75.31104278564453,180.54812622070312,68.87837409973145,137.9666748046875,0.499239212637683,40.87185573577881,111.56478881835938,2.409193691047051,0.385272741317749,69.15011596679688,35.00721740722656,0.22128883004188538,1.093290090560913,-0.15846054255962372,-0.03724253922700882,0.014807813484562067,0.7499625384807587,fall_candidate,not_fall,LSTM=1.00; мало кадров для решения; недостаточно подтверждения
6,0.2,1,1,6.827009677886963,42.411094665527344,75.43082427978516,180.67987060546875,68.6038146018982,138.2687759399414,0.4961627390966203,41.12891697883606,111.54548263549805,0.25778520395634447,0.20454399287700653,66.59182739257812,33.78563690185547,0.5464116930961609,1.375614881515503,0.5128124952316284,-0.011213432997465134,0.03808717731696995,0.7499822080135345,fall_candidate,not_fall,LSTM=1.00; мало кадров для решения; недостаточно подтверждения
7,0.23333333333333334,1,1,7.1530609130859375,43.96074295043945,75.26038360595703,180.51242065429688,68.1073226928711,136.55167770385742,0.4987659165973553,41.206722259521484,112.23658180236816,0.6954651106641567,0.23858314752578735,69.11063385009766,34.02404022216797,0.23319853842258453,1.0226922035217285,-0.1756899654865265,0.034450069069862366,0.014598540145985401,0.7499677240848541,fall_candidate,not_fall,LSTM=1.00; мало кадров для решения; недостаточно подтверждения
8,0.26666666666666666,1,1,6.941372394561768,47.109561920166016,75.3685531616211,180.82369995117188,68.42718076705933,133.71413803100586,0.5117423017092801,41.15496277809143,113.96663093566895,1.7308232282797376,0.20809048414230347,65.13368225097656,33.53412628173828,0.35088884830474854,0.9142751693725586,-0.31976592540740967,0.05015360563993454,0.015254609306409131,0.7499721050262451,fall_candidate,not_fall,LSTM=1.00; признаки падения не выражены; недостаточно подтверждения
9,0.3,1,1,7.34328031539917,49.31458282470703,75.62933349609375,181.9866943359375,68.28605318069458,132.67211151123047,0.5146978698301209,41.48630690574646,115.65063858032227,1.716295626686235,0.20989705622196198,64.6439437866211,34.09223937988281,0.4398093819618225,1.1137806177139282,0.40971195697784424,-0.003729959949851036,0.0034869783153536013,0.7499681711196899,fall_candidate,not_fall,LSTM=1.00; признаки падения не выражены; недостаточно подтверждения
10,0.3333333333333333,1,1,6.642491817474365,43.26470184326172,75.50592803955078,180.76498413085938,68.86343622207642,137.50028228759766,0.5008239625140596,41.07420992851257,112.01484298706055,3.6590754999899415,0.2948871850967407,62.236480712890625,31.7752685546875,0.4132801592350006,1.3894644975662231,-0.28674009442329407,0.2400689423084259,0.1079605124973745,0.7499736249446869,fall_candidate,not_fall,LSTM=1.00; признаки падения не выражены; недостаточно подтверждения
