frame,timestamp_sec,track_id,in_roi,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w,bbox_h,bbox_aspect,center_x,center_y,center_speed,avg_keypoint_score,torso_angle_deg,shoulder_hip_height,flow_mean_mag,flow_max_mag,flow_mean_dx,flow_mean_dy,flow_downward_ratio,fall_score,raw_label,label,reason
1,0.03333333333333333,1,0,554.3411865234375,621.4425659179688,897.4707641601562,1074.115478515625,343.12957763671875,452.67291259765625,0.7580077536949917,725.9059753417969,847.7790222167969,0.0,0.3863896131515503,83.80142211914062,263.611083984375,0.0,0.0,0.0,0.0,0.0,0.0,ignore,ignore,вне ROI
2,0.06666666666666667,1,0,583.4509887695312,608.0313110351562,951.4609375,1073.581787109375,368.00994873046875,465.55047607421875,0.7904834548419623,767.4559631347656,840.8065490722656,42.130949043987385,0.3863222301006317,84.61370849609375,257.1253662109375,9.721444129943848,64.4635009765625,5.707953453063965,-4.6600518226623535,0.07623273931703677,0.0,ignore,ignore,вне ROI
3,0.1,1,0,583.2579956054688,607.8463134765625,952.21142578125,1073.6685791015625,368.95343017578125,465.822265625,0.7920476486471755,767.7347106933594,840.7574462890625,0.2830393695941771,0.37172582745552063,84.14669036865234,255.21356201171875,0.017724115401506424,0.36792248487472534,-0.0019959916826337576,-0.00018448491755407304,0.0,0.0,ignore,ignore,вне ROI
4,0.13333333333333333,1,0,583.570068359375,607.7990112304688,952.9473266601562,1073.400634765625,369.37725830078125,465.60162353515625,0.793333269536786,768.2586975097656,840.5998229980469,0.5471812182797885,0.36800864338874817,84.2451400756836,254.97503662109375,0.012659016996622086,0.4496901333332062,0.00047401231131516397,0.0018028785707429051,0.0,0.0,ignore,ignore,вне ROI
5,0.16666666666666666,1,0,582.7296752929688,607.6629028320312,954.593994140625,1073.3338623046875,371.86431884765625,465.67095947265625,0.7985559573411444,768.6618347167969,840.4983825683594,0.4157039432915468,0.3681715726852417,84.18737030029297,254.83453369140625,0.013686612248420715,2.025789499282837,0.0019959749188274145,-0.000924701860640198,0.00039310902994565847,0.0,ignore,ignore,вне ROI
6,0.2,1,0,591.0457763671875,600.8720703125,965.9736328125,1073.88037109375,374.9278564453125,473.00830078125,0.7926454056431108,778.5097045898438,837.376220703125,10.330945539939123,0.3811874985694885,85.57440948486328,242.50970458984375,5.502320289611816,35.89658737182617,3.0359914302825928,-3.6009016036987305,0.01251585623678647,0.0,ignore,ignore,вне ROI
7,0.23333333333333334,1,0,590.943603515625,600.8948364257812,964.5851440429688,1073.874755859375,373.64154052734375,472.97991943359375,0.789973369217851,777.7643737792969,837.3847961425781,0.7453801414796855,0.3766971528530121,85.39825439453125,241.5885009765625,0.02025129832327366,1.1887277364730835,0.000916214776225388,0.00629058200865984,0.006902126601169008,0.0,ignore,ignore,вне ROI
8,0.26666666666666666,1,0,590.265380859375,600.9501953125,965.6215209960938,1073.9095458984375,375.35614013671875,472.9593505859375,0.793632982774734,777.9434509277344,837.4298706054688,0.18466275286961564,0.39014267921447754,85.69762420654297,242.332763671875,0.022373337298631668,2.0193731784820557,0.0016037715831771493,-0.007282189093530178,0.0006466195852638208,0.0,ignore,ignore,вне ROI
9,0.3,1,0,590.1530151367188,600.82177734375,965.9022827148438,1073.8173828125,375.749267578125,472.99560546875,0.7944032951548217,778.0276489257812,837.319580078125,0.13875627300004867,0.38933783769607544,85.64949035644531,243.00238037109375,0.009910447522997856,3.167778253555298,0.002194158034399152,-0.005711218807846308,0.0,0.0,ignore,ignore,вне ROI
10,0.3333333333333333,1,0,611.8740234375,590.967529296875,1010.29248046875,1072.517333984375,398.41845703125,481.5498046875,0.8273670826007337,811.083251953125,831.742431640625,33.522790399894305,0.4005526006221771,86.12369537353516,268.682861328125,5.792001247406006,47.95329666137695,1.6391997337341309,-3.853438377380371,0.0445328301257324,0.0,ignore,ignore,вне ROI
