frame,timestamp_sec,track_id,in_roi,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w,bbox_h,bbox_aspect,center_x,center_y,center_speed,avg_keypoint_score,torso_angle_deg,shoulder_hip_height,flow_mean_mag,flow_max_mag,flow_mean_dx,flow_mean_dy,flow_downward_ratio,fall_score,raw_label,label,reason
1,0.03333333333333333,1,0,1217.3875122070312,701.593505859375,1636.3619384765625,1073.28369140625,418.97442626953125,371.690185546875,1.1272141223021157,1426.8747253417969,887.4385986328125,0.0,0.28021204471588135,95.21663665771484,197.0264892578125,0.0,0.0,0.0,0.0,0.0,0.0,ignore,ignore,вне ROI
2,0.06666666666666667,2,0,1053.6177978515625,32.619415283203125,1494.55810546875,1067.0234375,440.9403076171875,1034.4040222167969,0.42627474192552245,1274.0879516601562,549.8214263916016,0.0,0.22741298377513885,99.31572723388672,405.9090270996094,0.24748556315898895,46.24790573120117,-0.021360881626605988,-0.045570258051157,0.01914279573854042,0.0,ignore,ignore,вне ROI
3,0.1,2,0,1053.7069091796875,32.277099609375,1497.5677490234375,1066.8165283203125,443.86083984375,1034.5394287109375,0.42904197512975595,1275.6373291015625,549.5468139648438,1.573525481480485,0.22874197363853455,99.21598052978516,409.1397705078125,0.015521692112088203,2.392226457595825,-0.0018626194214448333,-0.003602155251428485,0.0,0.0,ignore,ignore,вне ROI
4,0.13333333333333333,2,0,1071.4346923828125,40.012664794921875,1520.4393310546875,1066.0843505859375,449.004638671875,1026.0716857910156,0.43759577901784696,1295.93701171875,553.0485076904297,20.59948963703597,0.30759474635124207,96.69486999511719,406.3433532714844,2.895026206970215,55.37683868408203,0.6359521150588989,-1.271214246749878,0.07974402722966784,0.0,ignore,ignore,вне ROI
5,0.16666666666666666,2,0,1068.892822265625,39.0911865234375,1515.6116943359375,1067.25732421875,446.7188720703125,1028.1661376953125,0.4344812143606051,1292.2522583007812,553.1742553710938,3.6868984567553222,0.24837306141853333,95.35308074951172,415.83624267578125,0.6100316643714905,50.51485061645508,-0.30341023206710815,0.2645609974861145,0.031855256400212396,0.0,ignore,ignore,вне ROI
6,0.2,2,0,1076.3348388671875,38.888397216796875,1473.3759765625,1069.0821533203125,397.0411376953125,1030.1937561035156,0.3854043332557503,1274.8554077148438,553.9852752685547,17.415744703672924,0.26300373673439026,96.86857604980469,398.6679382324219,2.274078845977783,41.912681579589844,0.1690843552350998,-1.1742767095565796,0.060940060159937394,0.0,ignore,ignore,вне ROI
7,0.23333333333333334,2,0,1085.1849365234375,33.796875,1450.013427734375,1066.447509765625,364.8284912109375,1032.650634765625,0.353293242582222,1267.5991821289062,550.1221923828125,8.220475602793806,0.20459727942943573,92.78096008300781,399.06658935546875,2.4379255771636963,25.289363861083984,-0.9548227190971375,-1.5362716913223267,0.03202187533184666,0.0,ignore,ignore,вне ROI
8,0.26666666666666666,2,0,1085.9176025390625,34.0433349609375,1448.7725830078125,1066.521240234375,362.85498046875,1032.4779052734375,0.351440915699453,1267.3450927734375,550.2822875976562,0.30031962702825676,0.21340075135231018,93.09931182861328,405.2572021484375,0.009053143672645092,0.675173282623291,-0.0009696168708615005,-1.628861173230689e-05,0.0,0.0,ignore,ignore,вне ROI
9,0.3,2,0,1086.827880859375,34.2945556640625,1447.5545654296875,1066.4158935546875,360.7266845703125,1032.121337890625,0.34950026835753595,1267.1912231445312,550.355224609375,0.1702811509774589,0.22569632530212402,92.346435546875,398.02447509765625,0.0059227366000413895,0.7501899003982544,-0.00099728733766824,0.0005914531066082418,0.0,0.0,ignore,ignore,вне ROI
10,0.3333333333333333,2,0,1082.09814453125,39.756683349609375,1441.11962890625,1067.0096435546875,359.021484375,1027.2529602050781,0.34949666565412074,1261.60888671875,553.3831634521484,6.350660879481782,0.21322686970233917,93.48448181152344,402.7646484375,3.3410863876342773,25.57070541381836,-1.960111141204834,-1.6235859394073486,0.05578353806554505,0.0,ignore,ignore,вне ROI
